Time,Scheduled,Crawled
87.79477167129517,27057,98
87.98684644699097,27057,99
89.01788663864136,27560,100
89.30353927612305,27560,101
89.70791459083557,27560,102
89.79024648666382,27560,103
89.9420702457428,27560,104
90.19806718826294,27560,105
90.25858449935913,27560,106
91.42381310462952,28070,107
94.00480818748474,28523,108
94.42578172683716,28523,109
94.98275017738342,28523,110
96.15665316581726,28523,111
98.73315382003784,28523,112
99.11147618293762,28523,113
100.46835494041443,29053,114
100.51500177383423,29053,115
102.0031144618988,29325,116
103.16489577293396,29325,117
103.32709789276123,29325,118
103.60728287696838,29325,119
104.1553783416748,29325,120
108.93992829322815,29325,121
115.80699110031128,29605,122
115.86415147781372,29605,123
122.42984676361084,30836,124
122.71926927566528,30836,125
122.76845502853394,30881,126
122.84152483940125,30913,127
122.87723183631897,30913,128
123.11923027038574,30913,129
123.58385348320007,30924,130
124.09008598327637,30924,131
124.83734774589539,31649,132
124.93375563621521,31649,133
124.99261236190796,31649,134
125.26504588127136,31649,135
126.07609009742737,32029,136
126.14242100715637,32043,137
126.49814701080322,32045,138
126.55266427993774,32045,139
127.07422494888306,32347,140
127.19411945343018,32347,141
127.27615404129028,32347,142
127.41489696502686,32347,143
128.11647176742554,32936,144
128.18603086471558,32936,145
128.28615021705627,32936,146
128.3798520565033,32936,147
128.74044919013977,33343,148
128.8042697906494,33343,149
128.88686180114746,33343,150
129.00844383239746,33343,151
130.08161401748657,33668,152
130.5010585784912,33668,153
130.64594435691833,33699,154
130.81182765960693,33699,155
131.08372235298157,34087,156
131.3256676197052,34117,157
131.53905057907104,34117,158
131.70721697807312,34117,159
132.71290469169617,34455,160
133.37441229820251,34455,161
134.23912835121155,34933,162
134.70420336723328,34933,163
135.29256415367126,34933,164
135.7121512889862,34933,165
136.31594610214233,34933,166
138.78121709823608,34933,167
141.63057017326355,35490,168
142.51023817062378,36004,169
142.7825095653534,36004,170
143.0705451965332,36004,171
143.2593331336975,36004,172
143.50189590454102,36004,173
143.78017354011536,36004,174
144.04788970947266,36004,175
146.19797229766846,36547,176
147.07953548431396,37036,177
149.0177617073059,39976,178
149.17763543128967,39990,179
149.33405780792236,40048,180
150.40053248405457,40048,181
150.55919075012207,40048,182
152.07192182540894,40102,183
152.42818403244019,40108,184
152.51611590385437,40108,185
153.4516429901123,40713,186
153.64030408859253,40713,187
153.81527280807495,40713,188
153.9321310520172,40713,189
154.46563696861267,40713,190
155.30147075653076,40713,191
155.72092366218567,40713,192
156.3274450302124,40713,193
157.7009518146515,42166,194
158.86771535873413,42166,195
160.0740249156952,42166,196
160.98638558387756,42166,197
162.02860808372498,42166,198
163.0626027584076,42184,199
164.28530430793762,42184,200
165.0640926361084,42184,201
175.35734605789185,43002,202
176.92509078979492,43002,203
177.98429822921753,43002,204
178.67128682136536,43002,205
179.7456877231598,43002,206
181.03393149375916,43002,207
182.27961134910583,43002,208
183.17177319526672,43002,209
186.8220808506012,46031,210
187.24485516548157,46031,211
187.35545086860657,46031,212
187.77137303352356,46048,213
187.87332272529602,46053,214
187.9987335205078,46053,215
189.24180269241333,46255,216
189.3100802898407,46255,217
189.58507871627808,46255,218
189.62507843971252,46255,219
189.7605104446411,46255,220
189.93286156654358,46255,221
190.11818933486938,46255,222
191.51419711112976,46535,223
191.76649570465088,46766,224
191.90751910209656,46766,225
192.7614984512329,47488,226
192.81064105033875,47488,227
192.91473603248596,47488,228
193.20198035240173,47488,229
193.40894770622253,47488,230
193.46617317199707,47488,231
193.64880990982056,47488,232
194.80136108398438,47935,233
195.44124674797058,48173,234
195.61574959754944,48173,235
196.01016545295715,48173,236
196.34608554840088,48173,237
196.7217891216278,48173,238
196.7889325618744,48173,239
197.91440224647522,48567,240
197.9651427268982,48567,241
199.6791753768921,49004,242
199.72289490699768,49004,243
199.75570964813232,49004,244
199.79696393013,49004,245
199.86969017982483,49004,246
199.9053270816803,49004,247
200.6990556716919,49628,248
200.74400568008423,49628,249
201.02523970603943,50173,250
201.15352964401245,50173,251
201.29549026489258,50196,252
201.34218096733093,50196,253
201.3770227432251,50196,254
201.44266200065613,50196,255
202.05978393554688,50819,256
202.50375175476074,50819,257
202.8358383178711,51354,258
203.23885035514832,51354,259
203.53032398223877,51354,260
203.76064896583557,51354,261
204.0026614665985,51354,262
205.04008603096008,52030,263
205.50927448272705,52091,264
205.60190272331238,52091,265
205.92403411865234,52594,266
205.97986030578613,52594,267
206.0343325138092,52594,268
206.07105803489685,52594,269
206.10870885849,52594,270
207.2081286907196,53134,271
207.60921478271484,53134,272
207.68430185317993,53134,273
